inflasi,kelompok,tahun,bulan
7.07,"Makanan, Minuman dan Tembakau",2024,Januari
8.04,"Makanan, Minuman dan Tembakau",2024,Februari
5.59,"Makanan, Minuman dan Tembakau",2024,Maret
2.95,"Makanan, Minuman dan Tembakau",2024,April
6.02,"Makanan, Minuman dan Tembakau",2024,Mei
3.1,"Makanan, Minuman dan Tembakau",2024,Juni
2.08,"Makanan, Minuman dan Tembakau",2024,Juli
3.58,"Makanan, Minuman dan Tembakau",2024,Agustus
6.34,Makanan,2024,Januari
7.29,Makanan,2024,Februari
4.21,Makanan,2024,Maret
0.75,Makanan,2024,April
4.74,Makanan,2024,Mei
1.91,Makanan,2024,Juni
0.4,Makanan,2024,Juli
2.2,Makanan,2024,Agustus
-0.08,Minuman yang Tidak Beralkohol,2024,Januari
0.07,Minuman yang Tidak Beralkohol,2024,Februari
0.21,Minuman yang Tidak Beralkohol,2024,Maret
0.03,Minuman yang Tidak Beralkohol,2024,April
0.21,Minuman yang Tidak Beralkohol,2024,Mei
-0.81,Minuman yang Tidak Beralkohol,2024,Juni
3.73,Minuman yang Tidak Beralkohol,2024,Juli
6.46,Minuman yang Tidak Beralkohol,2024,Agustus
30.25,Minuman Beralkohol,2024,Januari
35.56,Minuman Beralkohol,2024,Februari
37.38,Minuman Beralkohol,2024,Maret
37.38,Minuman Beralkohol,2024,April
37.38,Minuman Beralkohol,2024,Mei
20.63,Minuman Beralkohol,2024,Juni
20.63,Minuman Beralkohol,2024,Juli
5.38,Minuman Beralkohol,2024,Agustus
15.51,Rokok dan Tembakau,2024,Januari
16.96,Rokok dan Tembakau,2024,Februari
16.46,Rokok dan Tembakau,2024,Maret
17.45,Rokok dan Tembakau,2024,April
16.82,Rokok dan Tembakau,2024,Mei
11.81,Rokok dan Tembakau,2024,Juni
10.22,Rokok dan Tembakau,2024,Juli
9.47,Rokok dan Tembakau,2024,Agustus
4.12,Pakaian dan Alas Kaki,2024,Januari
4.07,Pakaian dan Alas Kaki,2024,Februari
3.76,Pakaian dan Alas Kaki,2024,Maret
2.92,Pakaian dan Alas Kaki,2024,April
2.48,Pakaian dan Alas Kaki,2024,Mei
0.12,Pakaian dan Alas Kaki,2024,Juni
0.12,Pakaian dan Alas Kaki,2024,Juli
0.12,Pakaian dan Alas Kaki,2024,Agustus
2.89,Pakaian,2024,Januari
2.89,Pakaian,2024,Februari
2.5,Pakaian,2024,Maret
1.83,Pakaian,2024,April
1.83,Pakaian,2024,Mei
-0.25,Pakaian,2024,Juni
-0.24,Pakaian,2024,Juli
-0.24,Pakaian,2024,Agustus
7.75,Alas Kaki,2024,Januari
7.52,Alas Kaki,2024,Februari
7.52,Alas Kaki,2024,Maret
6.06,Alas Kaki,2024,April
4.31,Alas Kaki,2024,Mei
1.18,Alas Kaki,2024,Juni
1.14,Alas Kaki,2024,Juli
1.14,Alas Kaki,2024,Agustus
1.28,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
1.21,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
1.21,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
1.09,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.84,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.29,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.29,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.2,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.25,Sewa dan Kontrak Rumah,2024,Januari
0.15,Sewa dan Kontrak Rumah,2024,Februari
0.15,Sewa dan Kontrak Rumah,2024,Maret
0.15,Sewa dan Kontrak Rumah,2024,April
0.2,Sewa dan Kontrak Rumah,2024,Mei
0.2,Sewa dan Kontrak Rumah,2024,Juni
0.2,Sewa dan Kontrak Rumah,2024,Juli
0.2,Sewa dan Kontrak Rumah,2024,Agustus
9.15,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
8.86,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
8.82,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
7.61,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
4.94,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-0.04,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
0.11,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0.11,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
2.79,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
2.79,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
2.79,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
2.79,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
2.79,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
2.79,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
2.79,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
2.79,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
0,Listrik dan Bahan Bakar Rumah Tangga,2024,April
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.07,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.27,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
0.47,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
-0.43,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
-0.61,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
-0.25,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
-0.31,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
-1.24,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
-1.21,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
-1.08,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
2.21,"Furnitur, Perlengkapan dan Karpet",2024,Januari
0,"Furnitur, Perlengkapan dan Karpet",2024,Februari
0,"Furnitur, Perlengkapan dan Karpet",2024,Maret
0,"Furnitur, Perlengkapan dan Karpet",2024,April
0,"Furnitur, Perlengkapan dan Karpet",2024,Mei
0,"Furnitur, Perlengkapan dan Karpet",2024,Juni
0,"Furnitur, Perlengkapan dan Karpet",2024,Juli
0,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
3.96,Tekstil Rumah Tangga,2024,Januari
4.56,Tekstil Rumah Tangga,2024,Februari
4.56,Tekstil Rumah Tangga,2024,Maret
4.56,Tekstil Rumah Tangga,2024,April
4.56,Tekstil Rumah Tangga,2024,Mei
3.1,Tekstil Rumah Tangga,2024,Juni
2.52,Tekstil Rumah Tangga,2024,Juli
2.52,Tekstil Rumah Tangga,2024,Agustus
1.12,Peralatan Rumah Tangga,2024,Januari
1.28,Peralatan Rumah Tangga,2024,Februari
1.15,Peralatan Rumah Tangga,2024,Maret
0.37,Peralatan Rumah Tangga,2024,April
0.3,Peralatan Rumah Tangga,2024,Mei
-0.38,Peralatan Rumah Tangga,2024,Juni
-0.25,Peralatan Rumah Tangga,2024,Juli
-0.25,Peralatan Rumah Tangga,2024,Agustus
-4.85,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
-6.36,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
-6.29,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
-6.29,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
-6.29,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
-0.81,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
0.91,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
0.91,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
-0.68,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
