inflasi,kelompok,tahun,bulan
3.1,"Makanan, Minuman dan Tembakau",2024,Januari
5.08,"Makanan, Minuman dan Tembakau",2024,Februari
9.35,"Makanan, Minuman dan Tembakau",2024,Maret
7.96,"Makanan, Minuman dan Tembakau",2024,April
6.19,"Makanan, Minuman dan Tembakau",2024,Mei
6.3,"Makanan, Minuman dan Tembakau",2024,Juni
3.36,"Makanan, Minuman dan Tembakau",2024,Juli
2.48,"Makanan, Minuman dan Tembakau",2024,Agustus
3,Makanan,2024,Januari
5.68,Makanan,2024,Februari
10.68,Makanan,2024,Maret
8.92,Makanan,2024,April
6.7,Makanan,2024,Mei
6.83,Makanan,2024,Juni
2.76,Makanan,2024,Juli
1.62,Makanan,2024,Agustus
0.26,Minuman yang Tidak Beralkohol,2024,Januari
0.48,Minuman yang Tidak Beralkohol,2024,Februari
0.51,Minuman yang Tidak Beralkohol,2024,Maret
0.3,Minuman yang Tidak Beralkohol,2024,April
6.73,Minuman yang Tidak Beralkohol,2024,Mei
6.68,Minuman yang Tidak Beralkohol,2024,Juni
6.67,Minuman yang Tidak Beralkohol,2024,Juli
6.85,Minuman yang Tidak Beralkohol,2024,Agustus
4.03,Rokok dan Tembakau,2024,Januari
3.27,Rokok dan Tembakau,2024,Februari
5.32,Rokok dan Tembakau,2024,Maret
5.32,Rokok dan Tembakau,2024,April
3.99,Rokok dan Tembakau,2024,Mei
3.99,Rokok dan Tembakau,2024,Juni
5.31,Rokok dan Tembakau,2024,Juli
5.31,Rokok dan Tembakau,2024,Agustus
0.8,Pakaian dan Alas Kaki,2024,Januari
0.76,Pakaian dan Alas Kaki,2024,Februari
0.9,Pakaian dan Alas Kaki,2024,Maret
2.19,Pakaian dan Alas Kaki,2024,April
2.37,Pakaian dan Alas Kaki,2024,Mei
3.16,Pakaian dan Alas Kaki,2024,Juni
3.18,Pakaian dan Alas Kaki,2024,Juli
2.95,Pakaian dan Alas Kaki,2024,Agustus
0.97,Pakaian,2024,Januari
0.95,Pakaian,2024,Februari
1.13,Pakaian,2024,Maret
2.44,Pakaian,2024,April
2.63,Pakaian,2024,Mei
3.45,Pakaian,2024,Juni
3.43,Pakaian,2024,Juli
3.19,Pakaian,2024,Agustus
