inflasi,kelompok,tahun,bulan
5.42,"Makanan, Minuman dan Tembakau",2024,Januari
3.79,"Makanan, Minuman dan Tembakau",2024,Februari
4.94,"Makanan, Minuman dan Tembakau",2024,Maret
6.34,"Makanan, Minuman dan Tembakau",2024,April
6.48,"Makanan, Minuman dan Tembakau",2024,Mei
4.7,"Makanan, Minuman dan Tembakau",2024,Juni
2.17,"Makanan, Minuman dan Tembakau",2024,Juli
1.48,"Makanan, Minuman dan Tembakau",2024,Agustus
5.17,Makanan,2024,Januari
3.43,Makanan,2024,Februari
5.16,Makanan,2024,Maret
7.06,Makanan,2024,April
7.14,Makanan,2024,Mei
4.89,Makanan,2024,Juni
1.82,Makanan,2024,Juli
0.99,Makanan,2024,Agustus
0.97,Minuman yang Tidak Beralkohol,2024,Januari
1.02,Minuman yang Tidak Beralkohol,2024,Februari
0.8,Minuman yang Tidak Beralkohol,2024,Maret
0.84,Minuman yang Tidak Beralkohol,2024,April
1.33,Minuman yang Tidak Beralkohol,2024,Mei
1.4,Minuman yang Tidak Beralkohol,2024,Juni
0.93,Minuman yang Tidak Beralkohol,2024,Juli
0.8,Minuman yang Tidak Beralkohol,2024,Agustus
8.84,Rokok dan Tembakau,2024,Januari
6.99,Rokok dan Tembakau,2024,Februari
5.55,Rokok dan Tembakau,2024,Maret
4.69,Rokok dan Tembakau,2024,April
5,Rokok dan Tembakau,2024,Mei
5.03,Rokok dan Tembakau,2024,Juni
4.71,Rokok dan Tembakau,2024,Juli
4.56,Rokok dan Tembakau,2024,Agustus
0.77,Pakaian dan Alas Kaki,2024,Januari
0.77,Pakaian dan Alas Kaki,2024,Februari
0.63,Pakaian dan Alas Kaki,2024,Maret
0.2,Pakaian dan Alas Kaki,2024,April
0.21,Pakaian dan Alas Kaki,2024,Mei
0.16,Pakaian dan Alas Kaki,2024,Juni
0.12,Pakaian dan Alas Kaki,2024,Juli
0.4,Pakaian dan Alas Kaki,2024,Agustus
0.9,Pakaian,2024,Januari
0.91,Pakaian,2024,Februari
0.82,Pakaian,2024,Maret
0.31,Pakaian,2024,April
0.31,Pakaian,2024,Mei
0.25,Pakaian,2024,Juni
0.2,Pakaian,2024,Juli
0.43,Pakaian,2024,Agustus
0.19,Alas Kaki,2024,Januari
0.19,Alas Kaki,2024,Februari
-0.21,Alas Kaki,2024,Maret
-0.22,Alas Kaki,2024,April
-0.22,Alas Kaki,2024,Mei
-0.22,Alas Kaki,2024,Juni
-0.22,Alas Kaki,2024,Juli
0.23,Alas Kaki,2024,Agustus
0.45,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.28,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.22,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.31,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.51,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.67,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.1,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
-0.34,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
2.71,Sewa dan Kontrak Rumah,2024,Januari
2.71,Sewa dan Kontrak Rumah,2024,Februari
2.71,Sewa dan Kontrak Rumah,2024,Maret
2.71,Sewa dan Kontrak Rumah,2024,April
2.71,Sewa dan Kontrak Rumah,2024,Mei
2.71,Sewa dan Kontrak Rumah,2024,Juni
0.81,Sewa dan Kontrak Rumah,2024,Juli
0.81,Sewa dan Kontrak Rumah,2024,Agustus
-1.55,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-1.55,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-1.7,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
-1.44,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-1.6,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-1.46,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
-0.97,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
-1.61,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-0.67,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-1.08,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-1.22,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-1.04,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.54,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.18,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.22,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-1.14,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
0.4,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
0.13,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
-0.01,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
-0.26,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
-0.3,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
-0.36,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
-0.18,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
0.04,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
0,"Furnitur, Perlengkapan dan Karpet",2024,Januari
0,"Furnitur, Perlengkapan dan Karpet",2024,Februari
0,"Furnitur, Perlengkapan dan Karpet",2024,Maret
0,"Furnitur, Perlengkapan dan Karpet",2024,April
0,"Furnitur, Perlengkapan dan Karpet",2024,Mei
0,"Furnitur, Perlengkapan dan Karpet",2024,Juni
-0.02,"Furnitur, Perlengkapan dan Karpet",2024,Juli
-0.02,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
0.68,Tekstil Rumah Tangga,2024,Januari
0.68,Tekstil Rumah Tangga,2024,Februari
0.68,Tekstil Rumah Tangga,2024,Maret
0,Tekstil Rumah Tangga,2024,April
0,Tekstil Rumah Tangga,2024,Mei
0,Tekstil Rumah Tangga,2024,Juni
0,Tekstil Rumah Tangga,2024,Juli
0,Tekstil Rumah Tangga,2024,Agustus
-0.13,Peralatan Rumah Tangga,2024,Januari
-0.21,Peralatan Rumah Tangga,2024,Februari
0.16,Peralatan Rumah Tangga,2024,Maret
0.16,Peralatan Rumah Tangga,2024,April
0.16,Peralatan Rumah Tangga,2024,Mei
0,Peralatan Rumah Tangga,2024,Juni
0.05,Peralatan Rumah Tangga,2024,Juli
0.63,Peralatan Rumah Tangga,2024,Agustus
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
1.59,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
1.59,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
1.68,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
0.3,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
0.63,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
1.44,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
2.17,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
2.17,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
0.51,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
0.07,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
-0.28,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
-0.5,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
-0.6,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
-0.74,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
-0.5,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
-0.3,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
0.78,Kesehatan,2024,Januari
0.69,Kesehatan,2024,Februari
0.75,Kesehatan,2024,Maret
0.75,Kesehatan,2024,April
0.72,Kesehatan,2024,Mei
0.74,Kesehatan,2024,Juni
0.59,Kesehatan,2024,Juli
0.98,Kesehatan,2024,Agustus
1.7,Obat-obatan dan Produk Kesehatan,2024,Januari
1.53,Obat-obatan dan Produk Kesehatan,2024,Februari
1.65,Obat-obatan dan Produk Kesehatan,2024,Maret
1.67,Obat-obatan dan Produk Kesehatan,2024,April
1.58,Obat-obatan dan Produk Kesehatan,2024,Mei
1.64,Obat-obatan dan Produk Kesehatan,2024,Juni
1.29,Obat-obatan dan Produk Kesehatan,2024,Juli
0.64,Obat-obatan dan Produk Kesehatan,2024,Agustus
0,Jasa Rawat Jalan,2024,Januari
0,Jasa Rawat Jalan,2024,Februari
0,Jasa Rawat Jalan,2024,Maret
0,Jasa Rawat Jalan,2024,April
0,Jasa Rawat Jalan,2024,Mei
0,Jasa Rawat Jalan,2024,Juni
0,Jasa Rawat Jalan,2024,Juli
0,Jasa Rawat Jalan,2024,Agustus
0,Jasa Rawat Inap,2024,Januari
0,Jasa Rawat Inap,2024,Februari
0,Jasa Rawat Inap,2024,Maret
0,Jasa Rawat Inap,2024,April
0,Jasa Rawat Inap,2024,Mei
0,Jasa Rawat Inap,2024,Juni
0,Jasa Rawat Inap,2024,Juli
0,Jasa Rawat Inap,2024,Agustus
0,Jasa Kesehatan Lainnya,2024,Januari
0,Jasa Kesehatan Lainnya,2024,Februari
0,Jasa Kesehatan Lainnya,2024,Maret
0,Jasa Kesehatan Lainnya,2024,April
0,Jasa Kesehatan Lainnya,2024,Mei
0,Jasa Kesehatan Lainnya,2024,Juni
0,Jasa Kesehatan Lainnya,2024,Juli
15.02,Jasa Kesehatan Lainnya,2024,Agustus
2.1,Transportasi,2024,Januari
2.19,Transportasi,2024,Februari
1.14,Transportasi,2024,Maret
3.74,Transportasi,2024,April
2.53,Transportasi,2024,Mei
0.53,Transportasi,2024,Juni
-0.18,Transportasi,2024,Juli
0.51,Transportasi,2024,Agustus
0.71,Pembelian Kendaraan,2024,Januari
0.43,Pembelian Kendaraan,2024,Februari
0.34,Pembelian Kendaraan,2024,Maret
0.22,Pembelian Kendaraan,2024,April
0.67,Pembelian Kendaraan,2024,Mei
1.04,Pembelian Kendaraan,2024,Juni
1.03,Pembelian Kendaraan,2024,Juli
1.05,Pembelian Kendaraan,2024,Agustus
0.83,Pengoperasian Peralatan Transportasi Pribadi,2024,Januari
0.94,Pengoperasian Peralatan Transportasi Pribadi,2024,Februari
0.05,Pengoperasian Peralatan Transportasi Pribadi,2024,Maret
0.08,Pengoperasian Peralatan Transportasi Pribadi,2024,April
0.1,Pengoperasian Peralatan Transportasi Pribadi,2024,Mei
1.58,Pengoperasian Peralatan Transportasi Pribadi,2024,Juni
2.01,Pengoperasian Peralatan Transportasi Pribadi,2024,Juli
2.46,Pengoperasian Peralatan Transportasi Pribadi,2024,Agustus
7.31,Jasa Angkutan Penumpang,2024,Januari
7.56,Jasa Angkutan Penumpang,2024,Februari
5.24,Jasa Angkutan Penumpang,2024,Maret
18.68,Jasa Angkutan Penumpang,2024,April
12.22,Jasa Angkutan Penumpang,2024,Mei
-3.69,Jasa Angkutan Penumpang,2024,Juni
-8.64,Jasa Angkutan Penumpang,2024,Juli
-6.5,Jasa Angkutan Penumpang,2024,Agustus
3.5,Jasa Pengiriman Barang,2024,Januari
3.5,Jasa Pengiriman Barang,2024,Februari
5.83,Jasa Pengiriman Barang,2024,Maret
5.83,Jasa Pengiriman Barang,2024,April
5.83,Jasa Pengiriman Barang,2024,Mei
5.83,Jasa Pengiriman Barang,2024,Juni
5.83,Jasa Pengiriman Barang,2024,Juli
2.25,Jasa Pengiriman Barang,2024,Agustus
-0.07,"Informasi, Komunikasi dan Jasa Keuangan",2024,Januari
0.1,"Informasi, Komunikasi dan Jasa Keuangan",2024,Februari
0.09,"Informasi, Komunikasi dan Jasa Keuangan",2024,Maret
0.09,"Informasi, Komunikasi dan Jasa Keuangan",2024,April
0.08,"Informasi, Komunikasi dan Jasa Keuangan",2024,Mei
0.1,"Informasi, Komunikasi dan Jasa Keuangan",2024,Juni
0.11,"Informasi, Komunikasi dan Jasa Keuangan",2024,Juli
0.08,"Informasi, Komunikasi dan Jasa Keuangan",2024,Agustus
-1.59,Peralatan Informasi dan Komunikasi,2024,Januari
-0.51,Peralatan Informasi dan Komunikasi,2024,Februari
-0.56,Peralatan Informasi dan Komunikasi,2024,Maret
-0.56,Peralatan Informasi dan Komunikasi,2024,April
-0.61,Peralatan Informasi dan Komunikasi,2024,Mei
-0.49,Peralatan Informasi dan Komunikasi,2024,Juni
-0.45,Peralatan Informasi dan Komunikasi,2024,Juli
-0.65,Peralatan Informasi dan Komunikasi,2024,Agustus
0.24,Layanan Informasi dan Komunikasi,2024,Januari
0.24,Layanan Informasi dan Komunikasi,2024,Februari
0.24,Layanan Informasi dan Komunikasi,2024,Maret
0.24,Layanan Informasi dan Komunikasi,2024,April
0.24,Layanan Informasi dan Komunikasi,2024,Mei
0.24,Layanan Informasi dan Komunikasi,2024,Juni
0.24,Layanan Informasi dan Komunikasi,2024,Juli
0.24,Layanan Informasi dan Komunikasi,2024,Agustus
0,Jasa Keuangan,2024,Januari
0,Jasa Keuangan,2024,Februari
0,Jasa Keuangan,2024,Maret
0,Jasa Keuangan,2024,April
0,Jasa Keuangan,2024,Mei
0,Jasa Keuangan,2024,Juni
0,Jasa Keuangan,2024,Juli
0,Jasa Keuangan,2024,Agustus
1.11,"Rekreasi, Olahraga dan Budaya",2024,Januari
0.63,"Rekreasi, Olahraga dan Budaya",2024,Februari
0.63,"Rekreasi, Olahraga dan Budaya",2024,Maret
0.63,"Rekreasi, Olahraga dan Budaya",2024,April
0.63,"Rekreasi, Olahraga dan Budaya",2024,Mei
0.63,"Rekreasi, Olahraga dan Budaya",2024,Juni
0.63,"Rekreasi, Olahraga dan Budaya",2024,Juli
2.12,"Rekreasi, Olahraga dan Budaya",2024,Agustus
0,Barang Rekreasi Lainnya dan Olahraga,2024,Januari
0,Barang Rekreasi Lainnya dan Olahraga,2024,Februari
0,Barang Rekreasi Lainnya dan Olahraga,2024,Maret
0,Barang Rekreasi Lainnya dan Olahraga,2024,April
