inflasi,kelompok,tahun,bulan
4.21,"Makanan, Minuman dan Tembakau",2024,Januari
5.06,"Makanan, Minuman dan Tembakau",2024,Februari
5.98,"Makanan, Minuman dan Tembakau",2024,Maret
6.6,"Makanan, Minuman dan Tembakau",2024,April
6.37,"Makanan, Minuman dan Tembakau",2024,Mei
4.19,"Makanan, Minuman dan Tembakau",2024,Juni
3,"Makanan, Minuman dan Tembakau",2024,Juli
3.71,"Makanan, Minuman dan Tembakau",2024,Agustus
4.13,Makanan,2024,Januari
5.15,Makanan,2024,Februari
6.45,Makanan,2024,Maret
7.11,Makanan,2024,April
6.8,Makanan,2024,Mei
4.07,Makanan,2024,Juni
2.61,Makanan,2024,Juli
3.38,Makanan,2024,Agustus
0.59,Minuman yang Tidak Beralkohol,2024,Januari
0.82,Minuman yang Tidak Beralkohol,2024,Februari
0.92,Minuman yang Tidak Beralkohol,2024,Maret
1.14,Minuman yang Tidak Beralkohol,2024,April
1.81,Minuman yang Tidak Beralkohol,2024,Mei
1.05,Minuman yang Tidak Beralkohol,2024,Juni
0.93,Minuman yang Tidak Beralkohol,2024,Juli
0.92,Minuman yang Tidak Beralkohol,2024,Agustus
6.94,Rokok dan Tembakau,2024,Januari
6.49,Rokok dan Tembakau,2024,Februari
4.53,Rokok dan Tembakau,2024,Maret
5.05,Rokok dan Tembakau,2024,April
5.01,Rokok dan Tembakau,2024,Mei
6.87,Rokok dan Tembakau,2024,Juni
7.42,Rokok dan Tembakau,2024,Juli
8.04,Rokok dan Tembakau,2024,Agustus
0.71,Pakaian dan Alas Kaki,2024,Januari
0.71,Pakaian dan Alas Kaki,2024,Februari
0.89,Pakaian dan Alas Kaki,2024,Maret
0.98,Pakaian dan Alas Kaki,2024,April
0.98,Pakaian dan Alas Kaki,2024,Mei
0.98,Pakaian dan Alas Kaki,2024,Juni
0.97,Pakaian dan Alas Kaki,2024,Juli
0.89,Pakaian dan Alas Kaki,2024,Agustus
0.64,Pakaian,2024,Januari
0.64,Pakaian,2024,Februari
0.86,Pakaian,2024,Maret
0.98,Pakaian,2024,April
0.98,Pakaian,2024,Mei
0.97,Pakaian,2024,Juni
0.97,Pakaian,2024,Juli
0.87,Pakaian,2024,Agustus
1,Alas Kaki,2024,Januari
1,Alas Kaki,2024,Februari
1,Alas Kaki,2024,Maret
1,Alas Kaki,2024,April
1,Alas Kaki,2024,Mei
1,Alas Kaki,2024,Juni
1,Alas Kaki,2024,Juli
1,Alas Kaki,2024,Agustus
-0.1,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-0.18,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-0.44,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-0.41,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-0.02,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.05,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.18,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.27,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.13,Sewa dan Kontrak Rumah,2024,Januari
0.02,Sewa dan Kontrak Rumah,2024,Februari
0.02,Sewa dan Kontrak Rumah,2024,Maret
0.02,Sewa dan Kontrak Rumah,2024,April
0.02,Sewa dan Kontrak Rumah,2024,Mei
0.02,Sewa dan Kontrak Rumah,2024,Juni
0.02,Sewa dan Kontrak Rumah,2024,Juli
0.01,Sewa dan Kontrak Rumah,2024,Agustus
2.06,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
1.94,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
0.83,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.68,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
1.04,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
0.67,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
0.94,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0.96,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-1.37,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-1.41,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-1.43,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-1.29,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.59,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.24,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.11,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
0.11,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
2.36,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
2.15,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
2.06,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
1.81,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
1.7,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
1.39,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
0.97,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
0.92,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
4.61,"Furnitur, Perlengkapan dan Karpet",2024,Januari
3.33,"Furnitur, Perlengkapan dan Karpet",2024,Februari
3.33,"Furnitur, Perlengkapan dan Karpet",2024,Maret
2.82,"Furnitur, Perlengkapan dan Karpet",2024,April
2.32,"Furnitur, Perlengkapan dan Karpet",2024,Mei
1.42,"Furnitur, Perlengkapan dan Karpet",2024,Juni
1.42,"Furnitur, Perlengkapan dan Karpet",2024,Juli
1.42,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
0.89,Tekstil Rumah Tangga,2024,Januari
0.89,Tekstil Rumah Tangga,2024,Februari
0.89,Tekstil Rumah Tangga,2024,Maret
0.89,Tekstil Rumah Tangga,2024,April
0.75,Tekstil Rumah Tangga,2024,Mei
0.41,Tekstil Rumah Tangga,2024,Juni
3.95,Tekstil Rumah Tangga,2024,Juli
3.8,Tekstil Rumah Tangga,2024,Agustus
0.51,Peralatan Rumah Tangga,2024,Januari
0.51,Peralatan Rumah Tangga,2024,Februari
0.51,Peralatan Rumah Tangga,2024,Maret
0.36,Peralatan Rumah Tangga,2024,April
0.36,Peralatan Rumah Tangga,2024,Mei
-0.32,Peralatan Rumah Tangga,2024,Juni
-0.32,Peralatan Rumah Tangga,2024,Juli
-0.32,Peralatan Rumah Tangga,2024,Agustus
4.06,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
4.06,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
2.86,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
1.79,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
0.95,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
2.32,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
2.3,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
2.26,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
2.11,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
2.15,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
