inflasi,kelompok,tahun,bulan
3.9,"Makanan, Minuman dan Tembakau",2024,Januari
5.81,"Makanan, Minuman dan Tembakau",2024,Februari
6.64,"Makanan, Minuman dan Tembakau",2024,Maret
4.19,"Makanan, Minuman dan Tembakau",2024,April
5.22,"Makanan, Minuman dan Tembakau",2024,Mei
3.31,"Makanan, Minuman dan Tembakau",2024,Juni
3.15,"Makanan, Minuman dan Tembakau",2024,Juli
2.64,"Makanan, Minuman dan Tembakau",2024,Agustus
3.87,Makanan,2024,Januari
6.09,Makanan,2024,Februari
7.07,Makanan,2024,Maret
4.3,Makanan,2024,April
5.42,Makanan,2024,Mei
3.3,Makanan,2024,Juni
3.25,Makanan,2024,Juli
2.77,Makanan,2024,Agustus
0.89,Minuman yang Tidak Beralkohol,2024,Januari
0.78,Minuman yang Tidak Beralkohol,2024,Februari
0.51,Minuman yang Tidak Beralkohol,2024,Maret
0.35,Minuman yang Tidak Beralkohol,2024,April
0.53,Minuman yang Tidak Beralkohol,2024,Mei
0.43,Minuman yang Tidak Beralkohol,2024,Juni
0.61,Minuman yang Tidak Beralkohol,2024,Juli
0.86,Minuman yang Tidak Beralkohol,2024,Agustus
6.66,Rokok dan Tembakau,2024,Januari
6.66,Rokok dan Tembakau,2024,Februari
6.68,Rokok dan Tembakau,2024,Maret
5.98,Rokok dan Tembakau,2024,April
6.68,Rokok dan Tembakau,2024,Mei
5.73,Rokok dan Tembakau,2024,Juni
3.91,Rokok dan Tembakau,2024,Juli
2.6,Rokok dan Tembakau,2024,Agustus
0.24,Pakaian dan Alas Kaki,2024,Januari
0.17,Pakaian dan Alas Kaki,2024,Februari
0.18,Pakaian dan Alas Kaki,2024,Maret
0.25,Pakaian dan Alas Kaki,2024,April
0.29,Pakaian dan Alas Kaki,2024,Mei
0.29,Pakaian dan Alas Kaki,2024,Juni
0.27,Pakaian dan Alas Kaki,2024,Juli
0.28,Pakaian dan Alas Kaki,2024,Agustus
0.3,Pakaian,2024,Januari
0.21,Pakaian,2024,Februari
0.22,Pakaian,2024,Maret
0.33,Pakaian,2024,April
0.38,Pakaian,2024,Mei
0.38,Pakaian,2024,Juni
0.36,Pakaian,2024,Juli
0.36,Pakaian,2024,Agustus
0.05,Alas Kaki,2024,Januari
0.05,Alas Kaki,2024,Februari
0.05,Alas Kaki,2024,Maret
0,Alas Kaki,2024,April
0,Alas Kaki,2024,Mei
0,Alas Kaki,2024,Juni
0,Alas Kaki,2024,Juli
0,Alas Kaki,2024,Agustus
-0.29,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-0.32,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-0.43,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-0.42,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-0.9,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-1.2,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
-1.28,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
-1.5,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
1.07,Sewa dan Kontrak Rumah,2024,Januari
0.69,Sewa dan Kontrak Rumah,2024,Februari
0.69,Sewa dan Kontrak Rumah,2024,Maret
0.69,Sewa dan Kontrak Rumah,2024,April
0.67,Sewa dan Kontrak Rumah,2024,Mei
0.67,Sewa dan Kontrak Rumah,2024,Juni
0.67,Sewa dan Kontrak Rumah,2024,Juli
0.05,Sewa dan Kontrak Rumah,2024,Agustus
-0.77,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-0.77,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-0.46,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
-0.39,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-0.35,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-0.35,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
-0.35,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
-0.35,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-1.24,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-1.04,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-1.44,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-1.44,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-2.62,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-3.37,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-3.58,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-3.65,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
-2.4,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
-1.38,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
-0.98,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
-1.49,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
-2.01,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
-2.04,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
-1.67,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
-1.8,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
-1.19,"Furnitur, Perlengkapan dan Karpet",2024,Januari
-0.89,"Furnitur, Perlengkapan dan Karpet",2024,Februari
-0.89,"Furnitur, Perlengkapan dan Karpet",2024,Maret
-0.89,"Furnitur, Perlengkapan dan Karpet",2024,April
-2.43,"Furnitur, Perlengkapan dan Karpet",2024,Mei
-1.47,"Furnitur, Perlengkapan dan Karpet",2024,Juni
-1.47,"Furnitur, Perlengkapan dan Karpet",2024,Juli
-1.47,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
0.35,Tekstil Rumah Tangga,2024,Januari
0.35,Tekstil Rumah Tangga,2024,Februari
0.35,Tekstil Rumah Tangga,2024,Maret
0.35,Tekstil Rumah Tangga,2024,April
-2.27,Tekstil Rumah Tangga,2024,Mei
-0.98,Tekstil Rumah Tangga,2024,Juni
-0.98,Tekstil Rumah Tangga,2024,Juli
-0.98,Tekstil Rumah Tangga,2024,Agustus
-0.59,Peralatan Rumah Tangga,2024,Januari
-0.82,Peralatan Rumah Tangga,2024,Februari
-0.74,Peralatan Rumah Tangga,2024,Maret
-0.06,Peralatan Rumah Tangga,2024,April
0.03,Peralatan Rumah Tangga,2024,Mei
-0.17,Peralatan Rumah Tangga,2024,Juni
-0.89,Peralatan Rumah Tangga,2024,Juli
-0.21,Peralatan Rumah Tangga,2024,Agustus
-2.53,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
-2.53,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
-2.53,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
-2.53,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
-2.53,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
-2.53,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
