inflasi,kelompok,tahun,bulan
3.11,"Makanan, Minuman dan Tembakau",2024,Januari
2.21,"Makanan, Minuman dan Tembakau",2024,Februari
2.58,"Makanan, Minuman dan Tembakau",2024,Maret
3.35,"Makanan, Minuman dan Tembakau",2024,April
2.6,"Makanan, Minuman dan Tembakau",2024,Mei
2.48,"Makanan, Minuman dan Tembakau",2024,Juni
1.11,"Makanan, Minuman dan Tembakau",2024,Juli
1.47,"Makanan, Minuman dan Tembakau",2024,Agustus
2.62,Makanan,2024,Januari
1.89,Makanan,2024,Februari
2.13,Makanan,2024,Maret
3.17,Makanan,2024,April
2.14,Makanan,2024,Mei
1.96,Makanan,2024,Juni
0.04,Makanan,2024,Juli
0.38,Makanan,2024,Agustus
0.21,Minuman yang Tidak Beralkohol,2024,Januari
0.14,Minuman yang Tidak Beralkohol,2024,Februari
0.14,Minuman yang Tidak Beralkohol,2024,Maret
0.15,Minuman yang Tidak Beralkohol,2024,April
0.14,Minuman yang Tidak Beralkohol,2024,Mei
0.14,Minuman yang Tidak Beralkohol,2024,Juni
4.22,Minuman yang Tidak Beralkohol,2024,Juli
4.22,Minuman yang Tidak Beralkohol,2024,Agustus
9.04,Rokok dan Tembakau,2024,Januari
6.07,Rokok dan Tembakau,2024,Februari
7.7,Rokok dan Tembakau,2024,Maret
6.58,Rokok dan Tembakau,2024,April
7.83,Rokok dan Tembakau,2024,Mei
7.96,Rokok dan Tembakau,2024,Juni
8.17,Rokok dan Tembakau,2024,Juli
8.74,Rokok dan Tembakau,2024,Agustus
0.47,Pakaian dan Alas Kaki,2024,Januari
0.74,Pakaian dan Alas Kaki,2024,Februari
1.36,Pakaian dan Alas Kaki,2024,Maret
1.91,Pakaian dan Alas Kaki,2024,April
2.67,Pakaian dan Alas Kaki,2024,Mei
2.66,Pakaian dan Alas Kaki,2024,Juni
2.74,Pakaian dan Alas Kaki,2024,Juli
2.48,Pakaian dan Alas Kaki,2024,Agustus
0.24,Pakaian,2024,Januari
0.87,Pakaian,2024,Februari
1.6,Pakaian,2024,Maret
2.19,Pakaian,2024,April
