"kecamatan_subdistrict";"name";"nomor_komoditas";"x2020";"x2021";"x2022";"x2023"
"Alok";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Alok";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Alok";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Alok";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Alok";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Alok";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Alok";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Alok";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Alok";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Alok";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Alok";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Alok";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Alok";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Alok Barat";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Alok Barat";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Alok Barat";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Alok Barat";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Alok Barat";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Alok Barat";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Alok Barat";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Alok Barat";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Alok Barat";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Alok Barat";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Alok Barat";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Alok Barat";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Alok Barat";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Alok Timur";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"40";"9"
"Alok Timur";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Alok Timur";"krisan_chrysantemum_m2_m2";"3";"-";"-";"140";"8"
"Alok Timur";"mawar_rose_m2_m2";"4";"-";"-";"90";"10"
"Alok Timur";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Alok Timur";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"90";"10"
"Alok Timur";"bugenvil_m2_m2";"7";NA;"-";"180";"18"
"Alok Timur";"palem_palm_pohon_tree";"8";"-";"-";"370";"28"
"Alok Timur";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"195";"14"
"Alok Timur";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"132";"23"
"Alok Timur";"puring_croton_m2_m2";"11";NA;"-";"160";"13"
"Alok Timur";"soka_ixora_m2_m2";"12";"-";"-";"118";"13"
"Alok Timur";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"90";"9"
"Bola";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Bola";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Bola";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Bola";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Bola";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Bola";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Bola";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Bola";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Bola";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
