kecamatan_subdistrict;name;nomor_komoditas;x2020;x2021;x2022;x2023;tabel
Alok;bawang_merah_shallots_ha_ha;1;2;-;1;1;5.1
Alok;cabai_besar_chili_big_chili_ha_ha;2;2;NA;NA;NA;5.1
Alok;cabai_keriting_chili_curly_chili_ha_ha;3;NA;1;1;1;5.1
Alok;cabai_rawit_chili_cayenne_pepper_ha_ha;4;3;0;1;1;5.1
Alok;kentang_potato_ha_ha;5;-;-;-;-;5.1
Alok;kubis_cabbage_ha_ha;6;-;-;-;-;5.1
Alok;tomat_tomato_ha_ha;7;-;0;2;1;5.1
Alok;bawang_putih_garlic_ha_ha;8;-;-;-;-;5.1
Alok;bawang_merah_shallots_kw_qui;1;52;-;1;27;5.2
Alok;cabai_besar_chili_big_chili_kw_qui;2;168;NA;NA;NA;5.2
Alok;cabai_keriting_chili_curly_chili_kw_qui;3;NA;3;2;107;5.2
Alok;cabai_rawit_chili_cayenne_pepper_kw_qui;4;254;7;4;94;5.2
Alok;kentang_potato_kw_qui;5;-;-;-;-;5.2
Alok;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Alok;tomat_tomato_kw_qui;7;-;1;6;574;5.2
Alok;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Alok;jahe_ginger_m2_m2;1;1.400;190;500;-;5.3
Alok;laos_lengkuas_galanga_m2_m2;2;1.308;795;-;733;5.3
Alok;kencur_east_indian_galangal_m2_m2;3;375;-;-;-;5.3
Alok;kunyit_turmeric_m2_m2;4;2.200;1.175;1.675;1.100;5.3
Alok;jahe_ginger_kg_kg;1;1.360;300;500;-;5.4
Alok;laos_lengkuas_galanga_kg_kg;2;5.124;3.300;-;2.232;5.4
Alok;kencur_east_indian_galangal_kg_kg;3;225;-;-;-;5.4
Alok;kunyit_turmeric_kg_kg;4;3.400;3.500;1.675;4.184;5.4
Alok;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Alok;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Alok;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Alok;mawar_rose_m2_m2;4;-;-;-;-;5.5
Alok;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Alok;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Alok;bugenvil_m2_m2;7;NA;-;-;-;5.5
Alok;palem_palm_pohon_tree;8;-;-;-;-;5.5
Alok;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Alok;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Alok;puring_croton_m2_m2;11;NA;-;-;-;5.5
Alok;soka_ixora_m2_m2;12;-;-;-;-;5.5
Alok;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Alok;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Alok;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Alok;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Alok;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Alok;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Alok;bugenvil_pohon_tree;7;NA;-;-;-;5.6
Alok;palem_palm_pohon_tree;8;-;-;-;-;5.6
Alok;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;-;5.6
Alok;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;-;5.6
Alok;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Alok;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Alok;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
Alok;mangga_mango_kw_qui;1;2.400;560;2.730;648;5.7
Alok;durian_durian_kw_qui;2;-;-;-;-;5.7
Alok;jeruk_siam_keprok_orange_tangerine_kw_qui;3;105;452;-;-;5.7
Alok;pisang_banana_kw_qui;4;7.220;633;2.069;5.086;5.7
Alok;pepaya_papaya_kw_qui;5;2.855;2.300;845;906;5.7
Alok;salak_snakefruit_kw_qui;6;-;-;-;-;5.7
Alok;alpukat_avocado_kw_qui;7;301;1.076;2.120;397;5.7
Alok;jambu_biji_guava_kw_qui;8;359;4.279;440;300;5.7
Alok;nangka_cempedak_jackfruit_kw_qui;9;-;-;-;-;5.7
Alok;nenas_pineapple_kw_qui;10;-;-;-;-;5.7
Alok;rambutan_rambutan_kw_qui;11;-;-;-;-;5.7
Alok;salak_snakefruit_kw_qui;12;-;-;-;-;5.7
Alok;sirsak_soursop_kw_qui;13;295;225;320;2.070;5.7
