kecamatan_subdistrict,komoditas,y2020,y2021,y2022,y2023,name,no_komoditas,tabel
Paga,bawang_merah_shallots_ha_ha,-,-,-,-,bawang_merah,1,tbl_5.1
Paga,cabai_besar_chili_big_chili_ha_ha,2,...,...,...,cabai_besar,2,tbl_5.1
Paga,cabai_rawit_chili_cayenne_pepper_ha_ha,7,3,3,2,cabai_rawit,4,tbl_5.1
Paga,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Paga,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Paga,tomat_tomato_ha_ha,3,2,2,3,tomat_tomato,7,tbl_5.1
Paga,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Mego,bawang_merah_shallots_ha_ha,3,-,-,-,bawang_merah,1,tbl_5.1
Mego,cabai_besar_chili_big_chili_ha_ha,10,...,...,...,cabai_besar,2,tbl_5.1
Mego,cabai_rawit_chili_cayenne_pepper_ha_ha,10,3,5,2,cabai_rawit,4,tbl_5.1
Mego,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Mego,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Mego,tomat_tomato_ha_ha,8,2,5,7,tomat_tomato,7,tbl_5.1
Mego,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Tana Wawo,bawang_merah_shallots_ha_ha,7,7,5,4,bawang_merah,1,tbl_5.1
Tana Wawo,cabai_besar_chili_big_chili_ha_ha,5,...,...,...,cabai_besar,2,tbl_5.1
Tana Wawo,cabai_rawit_chili_cayenne_pepper_ha_ha,18,17,13,5,cabai_rawit,4,tbl_5.1
Tana Wawo,kentang_potato_ha_ha,-,-,-,0,kentang_potato,5,tbl_5.1
Tana Wawo,kubis_cabbage_ha_ha,-,1,-,-,kubis_cabbage,6,tbl_5.1
Tana Wawo,tomat_tomato_ha_ha,7,5,1,0,tomat_tomato,7,tbl_5.1
Tana Wawo,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Lela,bawang_merah_shallots_ha_ha,-,-,-,-,bawang_merah,1,tbl_5.1
Lela,cabai_besar_chili_big_chili_ha_ha,-,...,...,...,cabai_besar,2,tbl_5.1
Lela,cabai_rawit_chili_cayenne_pepper_ha_ha,2,2,3,4,cabai_rawit,4,tbl_5.1
Lela,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Lela,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Lela,tomat_tomato_ha_ha,2,5,5,5,tomat_tomato,7,tbl_5.1
Lela,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Bola,bawang_merah_shallots_ha_ha,-,-,-,-,bawang_merah,1,tbl_5.1
Bola,cabai_besar_chili_big_chili_ha_ha,-,...,...,...,cabai_besar,2,tbl_5.1
Bola,cabai_rawit_chili_cayenne_pepper_ha_ha,-,-,-,-,cabai_rawit,4,tbl_5.1
Bola,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Bola,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Bola,tomat_tomato_ha_ha,-,-,-,-,tomat_tomato,7,tbl_5.1
Bola,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Doreng,bawang_merah_shallots_ha_ha,4,-,-,-,bawang_merah,1,tbl_5.1
Doreng,cabai_besar_chili_big_chili_ha_ha,-,...,...,...,cabai_besar,2,tbl_5.1
Doreng,cabai_rawit_chili_cayenne_pepper_ha_ha,-,-,-,-,cabai_rawit,4,tbl_5.1
Doreng,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Doreng,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Doreng,tomat_tomato_ha_ha,-,-,-,-,tomat_tomato,7,tbl_5.1
Doreng,bawang_putih_garlic_ha_ha,1,-,-,-,bawang_putih,8,tbl_5.1
Mapitara,bawang_merah_shallots_ha_ha,-,3,-,-,bawang_merah,1,tbl_5.1
Mapitara,cabai_besar_chili_big_chili_ha_ha,-,...,...,...,cabai_besar,2,tbl_5.1
Mapitara,cabai_rawit_chili_cayenne_pepper_ha_ha,5,6,1,-,cabai_rawit,4,tbl_5.1
Mapitara,kentang_potato_ha_ha,-,5,8,2,kentang_potato,5,tbl_5.1
Mapitara,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Mapitara,tomat_tomato_ha_ha,1,1,1,1,tomat_tomato,7,tbl_5.1
Mapitara,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Talibura,bawang_merah_shallots_ha_ha,1,3,1,1,bawang_merah,1,tbl_5.1
Talibura,cabai_besar_chili_big_chili_ha_ha,4,...,...,...,cabai_besar,2,tbl_5.1
Talibura,cabai_rawit_chili_cayenne_pepper_ha_ha,-,2,8,6,cabai_rawit,4,tbl_5.1
Talibura,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Talibura,kubis_cabbage_ha_ha,2,2,1,-,kubis_cabbage,6,tbl_5.1
Talibura,tomat_tomato_ha_ha,3,3,7,5,tomat_tomato,7,tbl_5.1
Talibura,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Waigete,bawang_merah_shallots_ha_ha,2,1,4,1,bawang_merah,1,tbl_5.1
Waigete,cabai_besar_chili_big_chili_ha_ha,-,...,...,...,cabai_besar,2,tbl_5.1
Waigete,cabai_rawit_chili_cayenne_pepper_ha_ha,2,5,5,4,cabai_rawit,4,tbl_5.1
Waigete,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Waigete,kubis_cabbage_ha_ha,1,2,4,2,kubis_cabbage,6,tbl_5.1
Waigete,tomat_tomato_ha_ha,3,6,10,1,tomat_tomato,7,tbl_5.1
Waigete,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Waiblama,bawang_merah_shallots_ha_ha,-,-,-,-,bawang_merah,1,tbl_5.1
Waiblama,cabai_besar_chili_big_chili_ha_ha,-,...,...,...,cabai_besar,2,tbl_5.1
Waiblama,cabai_rawit_chili_cayenne_pepper_ha_ha,4,1,-,-,cabai_rawit,4,tbl_5.1
Waiblama,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Waiblama,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Waiblama,tomat_tomato_ha_ha,-,1,1,-,tomat_tomato,7,tbl_5.1
Waiblama,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Kewapante,bawang_merah_shallots_ha_ha,1,-,-,0,bawang_merah,1,tbl_5.1
Kewapante,cabai_besar_chili_big_chili_ha_ha,2,...,...,...,cabai_besar,2,tbl_5.1
Kewapante,cabai_rawit_chili_cayenne_pepper_ha_ha,-,0,1,0,cabai_rawit,4,tbl_5.1
Kewapante,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Kewapante,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Kewapante,tomat_tomato_ha_ha,0,0,1,0,tomat_tomato,7,tbl_5.1
Kewapante,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Hewokloang,bawang_merah_shallots_ha_ha,-,-,-,-,bawang_merah,1,tbl_5.1
Hewokloang,cabai_besar_chili_big_chili_ha_ha,-,...,...,...,cabai_besar,2,tbl_5.1
Hewokloang,cabai_rawit_chili_cayenne_pepper_ha_ha,-,1,-,1,cabai_rawit,4,tbl_5.1
Hewokloang,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Hewokloang,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Hewokloang,tomat_tomato_ha_ha,-,-,-,1,tomat_tomato,7,tbl_5.1
Hewokloang,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Kangae,bawang_merah_shallots_ha_ha,-,1,-,1,bawang_merah,1,tbl_5.1
Kangae,cabai_besar_chili_big_chili_ha_ha,1,...,...,...,cabai_besar,2,tbl_5.1
Kangae,cabai_rawit_chili_cayenne_pepper_ha_ha,-,-,3,2,cabai_rawit,4,tbl_5.1
Kangae,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Kangae,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Kangae,tomat_tomato_ha_ha,1,1,3,8,tomat_tomato,7,tbl_5.1
Kangae,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Palue,bawang_merah_shallots_ha_ha,-,-,-,-,bawang_merah,1,tbl_5.1
Palue,cabai_besar_chili_big_chili_ha_ha,-,...,...,...,cabai_besar,2,tbl_5.1
Palue,cabai_rawit_chili_cayenne_pepper_ha_ha,-,0,0,0,cabai_rawit,4,tbl_5.1
Palue,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Palue,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Palue,tomat_tomato_ha_ha,-,-,-,0,tomat_tomato,7,tbl_5.1
Palue,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Koting,bawang_merah_shallots_ha_ha,-,-,-,-,bawang_merah,1,tbl_5.1
Koting,cabai_besar_chili_big_chili_ha_ha,2,...,...,...,cabai_besar,2,tbl_5.1
Koting,cabai_rawit_chili_cayenne_pepper_ha_ha,1,2,1,1,cabai_rawit,4,tbl_5.1
Koting,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Koting,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Koting,tomat_tomato_ha_ha,2,1,1,0,tomat_tomato,7,tbl_5.1
Koting,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Nelle,bawang_merah_shallots_ha_ha,-,-,-,-,bawang_merah,1,tbl_5.1
Nelle,cabai_besar_chili_big_chili_ha_ha,0,...,...,...,cabai_besar,2,tbl_5.1
