wil_code_kec,r502c,jml_desa,r502c_ket
T010,NA,7,NA
T010,1,1,Listrik diusahakan oleh pemerintah
T011,1,2,Listrik diusahakan oleh pemerintah
T011,NA,8,NA
T012,NA,6,NA
T012,1,2,Listrik diusahakan oleh pemerintah
T020,1,3,Listrik diusahakan oleh pemerintah
T020,NA,6,NA
T030,NA,4,NA
T030,1,2,Listrik diusahakan oleh pemerintah
T031,NA,7,NA
T032,NA,4,NA
T040,NA,12,NA
T041,NA,3,NA
T041,1,4,Listrik diusahakan oleh pemerintah
T041,2,2,Listrik diusahakan oleh non pemerintah
T042,NA,6,NA
T050,1,3,Listrik diusahakan oleh pemerintah
T050,NA,4,NA
T050,2,1,Listrik diusahakan oleh non pemerintah
T051,NA,6,NA
T051,1,1,Listrik diusahakan oleh pemerintah
T052,NA,2,NA
T052,1,7,Listrik diusahakan oleh pemerintah
T061,NA,8,NA
T062,NA,4,NA
T062,2,2,Listrik diusahakan oleh non pemerintah
T063,2,4,Listrik diusahakan oleh non pemerintah
T063,1,1,Listrik diusahakan oleh pemerintah
T070,1,3,Listrik diusahakan oleh pemerintah
T070,2,4,Listrik diusahakan oleh non pemerintah
T070,NA,5,NA
T071,NA,5,NA
T080,1,4,Listrik diusahakan oleh pemerintah
T080,2,2,Listrik diusahakan oleh non pemerintah
T080,NA,1,NA
T081,2,3,Listrik diusahakan oleh non pemerintah
T081,1,1,Listrik diusahakan oleh pemerintah
T082,1,7,Listrik diusahakan oleh pemerintah
T082,NA,3,NA
